Electronics International Inc
CGR-30P Flight Data Recording
Aircraft ID....: C-FHTI
Unit ID........: 10003459
EDC Models.....: P-4-6-G,,
SW Version.....: 1.2
Tracking Number: 456
Local Time: 2026/05/17 19:41:13 
Zulu Time.: 2026/05/18 02:41:13 
Flight Number: 1322
Engine Hours.: 2290.17 hrs
Tach Time....: 1279.76 hrs
Data Logging Interval: 0.3 sec

TIME,SEL TANK QTY,RPMLEFT;RPM,RPMRIGHT;RPM,RPM;***,TEMP COMP;*F,OAT;*C,VOLTS;V,VOLTS    ANN;V,AMPS;A,FLOW;GPH,EGT1;*F,EGT2;*F,EGT3;*F,EGT4;*F,EGT:;***,EGT-D:;***,EGT-H:;***,CHT1;*F,CHT2;*F,CHT3;*F,CHT4;*F,CHT:;***,CHT-D:;***,CHT-H:;***,FUEL L;GAL,FUEL L   ANN;GAL,FUEL R;GAL,FUEL R   ANN;GAL,OIL P;PSI,OIL T;*F,OIL T    ANN;*F,CARB T;*F,FLT;HRS,TACH;HRS,EST  TOTAL;GAL,RANGE;NM,TO DEST;NM,AT DEST;NM,REMAIN;GAL,TO DEST;GAL,AT DEST;GAL,TO EMPTY;H:M,TO DEST;H:M,AT DEST;H:M,DISTANCE;NM,TIME;H:M,QUANTITY;GAL,FLIGHT;GAL,SINCE ADD;GAL,ECONOMY;MPG,ENGINE;GPH,SWITCH IN;H:M,SWTCH    ANN; ,FUEL     ANN; ,
19:41:13,TOTAL   : 19.74,0,0,0,91,16,12.3,12.3,0.0,0.0,643,636,637,609,645,34,645,261,243,251,241,261,19,261,9.3,9.3,10.1,10.1,0,149,149,82,  0.00,1279.76,19.7,0.0,0.0,0.0,19.7,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,16.3,0.0,0.0,359940.0,100.0,19.7,
19:41:13,TOTAL   : 19.74,0,0,0,91,16,12.4,12.4,0.0,0.0,640,632,634,605,642,35,642,261,243,251,241,261,19,261,10.1,10.1,10.9,10.9,0,149,149,83,  0.00,1279.76,19.7,0.0,0.0,0.0,19.7,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,16.3,0.0,0.0,359940.0,100.0,19.7,
19:41:14,TOTAL   : 19.74,0,0,0,91,16,12.4,12.4,0.0,0.0,640,632,634,605,642,35,642,261,243,251,241,261,19,261,10.1,10.1,10.9,10.9,0,149,149,83,  0.00,1279.76,19.7,0.0,0.0,0.0,19.7,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,16.3,0.0,0.0,359940.0,100.0,19.7,
19:41:14,TOTAL   : 19.74,0,0,0,91,16,12.4,12.4,0.0,0.0,638,631,632,604,640,35,640,261,243,251,241,261,19,261,10.5,10.5,11.3,11.3,0,149,149,83,  0.00,1279.76,19.7,0.0,0.0,0.0,19.7,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,16.3,0.0,0.0,359940.0,100.0,19.7,
19:41:14,TOTAL   : 19.74,0,0,0,91,16,12.4,12.4,0.0,0.0,636,629,631,602,638,34,638,261,243,251,241,261,19,261,10.9,10.9,11.8,11.8,0,149,149,83,  0.00,1279.76,19.7,0.0,0.0,0.0,19.7,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,16.3,0.0,0.0,359940.0,100.0,19.7,
19:41:15,TOTAL   : 19.74,0,0,0,91,16,12.4,12.4,0.0,0.0,635,628,629,601,636,34,636,260,243,251,241,261,20,261,11.3,11.3,12.2,12.2,0,149,149,83,  0.00,1279.76,19.7,0.0,0.0,0.0,19.7,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,16.3,0.0,0.0,359940.0,100.0,19.7,
19:41:15,TOTAL   : 19.74,0,0,0,91,16,12.4,12.4,0.0,0.0,633,626,627,599,635,34,635,260,243,251,241,260,20,260,11.3,11.3,12.2,12.2,0,149,149,83,  0.00,1279.76,19.7,0.0,0.0,0.0,19.7,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,16.3,0.0,0.0,359940.0,100.0,19.7,
19:41:15,TOTAL   : 19.74,0,0,0,91,16,12.4,12.4,0.0,0.0,631,624,626,598,633,34,633,260,243,251,241,260,20,260,11.3,11.3,12.2,12.2,0,149,149,83,  0.00,1279.76,19.7,0.0,0.0,0.0,19.7,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,16.3,0.0,0.0,359940.0,100.0,19.7,
19:41:16,TOTAL   : 19.74,0,0,0,91,16,12.4,12.4,0.0,0.0,630,623,624,596,631,33,631,261,243,251,241,260,20,260,11.3,11.3,12.2,12.2,0,149,149,83,  0.00,1279.76,19.7,0.0,0.0,0.0,19.7,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,16.3,0.0,0.0,359940.0,100.0,19.7,
19:41:16,TOTAL   : 19.74,0,0,0,91,16,12.3,12.3,0.0,0.0,628,621,623,595,630,34,630,260,243,251,241,261,19,261,11.3,11.3,12.1,12.1,0,149,149,83,  0.00,1279.76,19.7,0.0,0.0,0.0,19.7,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,16.3,0.0,0.0,359940.0,100.0,19.7,
