Electronics International Inc
CGR-30P Flight Data Recording
Aircraft ID....: C-FHTI
Unit ID........: 10003459
EDC Models.....: P-4-6-G,,
SW Version.....: 1.2
Tracking Number: 456
Local Time: 2026/06/18 10:29:15 
Zulu Time.: 2026/06/18 17:29:15 
Flight Number: 1358
Engine Hours.: 2302.10 hrs
Tach Time....: 1287.65 hrs
Data Logging Interval: 0.3 sec

TIME,SEL TANK QTY,RPMLEFT;RPM,RPMRIGHT;RPM,RPM;***,TEMP COMP;*F,OAT;*C,VOLTS;V,VOLTS    ANN;V,AMPS;A,FLOW;GPH,EGT1;*F,EGT2;*F,EGT3;*F,EGT4;*F,EGT:;***,EGT-D:;***,EGT-H:;***,CHT1;*F,CHT2;*F,CHT3;*F,CHT4;*F,CHT:;***,CHT-D:;***,CHT-H:;***,FUEL L;GAL,FUEL L   ANN;GAL,FUEL R;GAL,FUEL R   ANN;GAL,OIL P;PSI,OIL T;*F,OIL T    ANN;*F,CARB T;*F,FLT;HRS,TACH;HRS,EST  TOTAL;GAL,RANGE;NM,TO DEST;NM,AT DEST;NM,REMAIN;GAL,TO DEST;GAL,AT DEST;GAL,TO EMPTY;H:M,TO DEST;H:M,AT DEST;H:M,DISTANCE;NM,TIME;H:M,QUANTITY;GAL,FLIGHT;GAL,SINCE ADD;GAL,ECONOMY;MPG,ENGINE;GPH,SWITCH IN;H:M,SWTCH    ANN; ,FUEL     ANN; ,
10:29:15,TOTAL   : 31.00,0,0,0,76,24,12.0,12.0,0.0,0.0,117,113,116,105,117,12,117,103,98,101,102,103,5,103,10.6,10.6,10.6,10.6,23,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0,104:45,  0:00,  0:00,0.0,104:45,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:16,TOTAL   : 31.00,0,0,0,76,24,12.0,12.0,0.0,0.0,117,113,115,105,117,12,117,103,98,101,102,103,5,103,11.2,11.2,11.2,11.2,20,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:16,TOTAL   : 31.00,0,0,0,76,24,12.0,12.0,0.0,0.0,116,113,115,105,117,12,117,103,98,101,102,103,4,103,11.8,11.8,11.8,11.8,18,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:16,TOTAL   : 31.00,0,0,0,76,24,12.0,12.0,0.0,0.0,116,113,115,105,117,12,117,103,98,101,102,103,4,103,11.8,11.8,11.8,11.8,18,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:17,TOTAL   : 31.00,0,0,0,76,24,12.1,12.1,0.0,0.0,116,113,115,105,116,11,116,104,98,101,101,103,5,103,13.0,13.0,13.0,13.0,14,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:17,TOTAL   : 31.00,0,0,0,76,24,12.1,12.1,0.0,0.0,116,112,115,105,116,11,116,103,98,101,101,104,5,104,13.7,13.7,13.7,13.7,13,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:17,TOTAL   : 31.00,0,0,0,76,24,12.1,12.1,0.0,0.0,116,112,115,105,116,11,116,103,98,101,101,104,5,104,13.7,13.7,13.7,13.7,13,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:18,TOTAL   : 31.00,0,0,0,76,24,12.0,12.0,0.0,0.0,116,112,115,105,116,11,116,103,98,101,102,103,5,103,14.9,14.9,14.9,14.9,11,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:18,TOTAL   : 31.00,0,0,0,76,24,12.0,12.0,0.0,0.0,116,112,115,105,116,11,116,103,98,101,102,103,5,103,14.9,14.9,14.9,14.9,11,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:18,TOTAL   : 31.00,0,0,0,76,24,12.1,12.1,0.0,0.0,116,112,115,104,116,11,116,103,98,101,102,103,5,103,15.5,15.5,15.5,15.5,10,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:19,TOTAL   : 31.00,0,0,0,76,24,12.1,12.1,0.0,0.0,116,112,115,104,116,12,116,104,98,101,101,103,5,103,16.8,16.8,16.8,16.8,8,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:19,TOTAL   : 31.00,0,0,0,76,24,12.1,12.1,0.0,0.0,116,112,115,104,116,12,116,104,98,101,101,103,5,103,16.8,16.8,16.8,16.8,8,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:19,TOTAL   : 31.00,0,0,0,76,24,12.1,12.1,0.0,0.0,115,112,115,104,116,12,116,104,98,101,101,104,5,104,17.4,17.4,17.4,17.4,8,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
10:29:20,TOTAL   : 31.00,0,0,0,76,24,12.1,12.1,0.0,0.0,116,112,115,104,115,11,115,103,98,101,101,104,5,104,18.0,18.0,18.0,18.0,7,73,73,71,  0.00,1287.65,31.0,0.0,0.0,0.0,31.0,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.0,0.0,0.0,359940.0,100.0,31.0,
