Electronics International Inc
CGR-30P Flight Data Recording
Aircraft ID....: C-GJYY
Unit ID........: 10003942
EDC Models.....: P-4-6-H,,
SW Version.....: 1.2
Tracking Number: 570
Local Time: 2026/04/19 21:39:27 
Zulu Time.: 2026/04/20 04:39:27 
Flight Number: 906
Engine Hours.:  54.09 hrs
Tach Time....:  40.42 hrs
Data Logging Interval: 0.3 sec

TIME,SEL TANK QTY,RPMLEFT;RPM,RPMRIGHT;RPM,RPM;***,TEMP COMP;*F,OAT;*C,VOLTS;V,AMPS;A,FLOW;GPH,EGT1;*F,EGT2;*F,EGT3;*F,EGT4;*F,EGT:;***,EGT-D:;***,EGT-H:;***,CHT1;*F,CHT2;*F,CHT3;*F,CHT4;*F,CHT:;***,CHT-D:;***,CHT-H:;***,FUEL L;GAL,FUEL L   ANN;GAL,FUEL R;GAL,FUEL R   ANN;GAL,OIL P;PSI,OIL T;*F,OIL T    ANN;*F,CARB T;*C,CARB T   ANN;*C,FLT;HRS,TACH;HRS,EST  TOTAL;GAL,RANGE;NM,TO DEST;NM,AT DEST;NM,REMAIN;GAL,TO DEST;GAL,AT DEST;GAL,TO EMPTY;H:M,TO DEST;H:M,AT DEST;H:M,DISTANCE;NM,TIME;H:M,QUANTITY;GAL,FLIGHT;GAL,SINCE ADD;GAL,ECONOMY;MPG,ENGINE;GPH,SWITCH IN;H:M,SWTCH    ANN; ,FUEL     ANN; ,
21:39:27,TOTAL   : 30.09,0,0,0,92,14,11.7,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,11.6,11.6,9.9,9.9,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:28,TOTAL   : 30.09,0,0,0,92,14,11.7,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,12.3,12.3,10.6,10.6,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:28,TOTAL   : 30.09,0,0,0,92,14,11.8,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,13.0,13.0,11.2,11.2,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:28,TOTAL   : 30.09,0,0,0,92,14,11.8,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,13.0,13.0,11.2,11.2,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:29,TOTAL   : 30.09,0,0,0,92,14,11.8,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,13.8,13.8,11.8,11.8,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:29,TOTAL   : 30.09,0,0,0,92,14,11.8,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,14.5,14.5,12.4,12.4,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:29,TOTAL   : 30.09,0,0,0,92,14,11.8,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,15.9,15.9,13.7,13.7,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:30,TOTAL   : 30.09,0,0,0,92,14,11.8,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,16.7,16.7,14.3,14.3,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:30,TOTAL   : 30.09,0,0,0,92,14,11.8,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,16.7,16.7,14.3,14.3,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:30,TOTAL   : 30.09,0,0,0,92,14,11.8,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,17.4,17.4,14.9,14.9,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:31,TOTAL   : 30.09,0,0,0,92,14,11.7,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,18.1,18.1,15.5,15.5,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:31,TOTAL   : 30.09,0,0,0,92,14,11.7,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,18.8,18.8,16.1,16.1,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
21:39:31,TOTAL   : 30.09,0,0,0,92,14,11.8,0.0,0.0,213,233,243,213,243,31,243,248,252,268,252,268,19,268,19.6,19.6,16.8,16.8,0,156,156,33,33,  0.00, 40.42,30.1,0.0,0.0,0.0,30.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,5.9,0.0,0.0,359940.0,100.0,30.1,
