Electronics International Inc
CGR-30P Flight Data Recording
Aircraft ID....: C-GJYY
Unit ID........: 10003942
EDC Models.....: P-4-6-H,,
SW Version.....: 1.2
Tracking Number: 570
Local Time: 2026/05/02 13:28:57 
Zulu Time.: 2026/05/02 20:28:57 
Flight Number: 922
Engine Hours.:  68.91 hrs
Tach Time....:  50.94 hrs
Data Logging Interval: 0.3 sec

TIME,SEL TANK QTY,RPMLEFT;RPM,RPMRIGHT;RPM,RPM;***,TEMP COMP;*F,OAT;*C,VOLTS;V,AMPS;A,FLOW;GPH,EGT1;*F,EGT2;*F,EGT3;*F,EGT4;*F,EGT:;***,EGT-D:;***,EGT-H:;***,CHT1;*F,CHT2;*F,CHT3;*F,CHT4;*F,CHT:;***,CHT-D:;***,CHT-H:;***,FUEL L;GAL,FUEL L   ANN;GAL,FUEL R;GAL,FUEL R   ANN;GAL,OIL P;PSI,OIL T;*F,OIL T    ANN;*F,CARB T;*C,CARB T   ANN;*C,FLT;HRS,TACH;HRS,EST  TOTAL;GAL,RANGE;NM,TO DEST;NM,AT DEST;NM,REMAIN;GAL,TO DEST;GAL,AT DEST;GAL,TO EMPTY;H:M,TO DEST;H:M,AT DEST;H:M,DISTANCE;NM,TIME;H:M,QUANTITY;GAL,FLIGHT;GAL,SINCE ADD;GAL,ECONOMY;MPG,ENGINE;GPH,SWITCH IN;H:M,SWTCH    ANN; ,FUEL     ANN; ,
13:28:57,TOTAL   : 25.11,0,0,0,82,19,11.9,0.0,0.0,68,68,68,69,69,1,69,67,68,68,68,68,1,68,11.2,11.2,11.4,11.4,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
13:28:57,TOTAL   : 25.11,0,0,0,82,19,11.9,0.0,0.0,68,68,68,69,69,1,69,67,68,68,68,68,1,68,11.2,11.2,11.4,11.4,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
13:28:58,TOTAL   : 25.11,0,0,0,82,19,11.9,0.0,0.0,68,68,68,69,69,1,69,67,68,68,68,68,1,68,12.1,12.1,12.5,12.5,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
13:28:58,TOTAL   : 25.11,0,0,0,82,19,11.9,0.0,0.0,68,68,68,69,69,1,69,67,68,68,68,68,1,68,12.4,12.4,13.0,13.0,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
13:28:58,TOTAL   : 25.11,0,0,0,82,19,11.9,0.0,0.0,68,68,68,69,69,1,69,67,68,68,68,68,1,68,12.4,12.4,13.0,13.0,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
13:28:59,TOTAL   : 25.11,0,0,0,82,19,11.9,0.0,0.0,68,68,68,69,69,1,69,67,68,68,68,68,1,68,12.8,12.8,13.4,13.4,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
13:28:59,TOTAL   : 25.11,0,0,0,82,19,11.9,0.0,0.0,68,68,68,69,69,1,69,67,68,68,68,68,1,68,13.3,13.3,13.9,13.9,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
13:28:59,TOTAL   : 25.11,0,0,0,82,19,11.9,0.0,0.0,68,68,68,69,69,1,69,67,68,68,68,68,1,68,13.3,13.3,13.9,13.9,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
13:29:00,TOTAL   : 25.11,0,0,0,82,19,11.8,0.0,0.0,68,68,68,69,69,1,69,68,68,68,68,68,0,68,13.3,13.3,13.8,13.8,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
13:29:00,TOTAL   : 25.11,0,0,0,82,19,11.9,0.0,0.0,68,68,68,69,69,1,69,67,68,68,68,68,0,68,13.3,13.3,13.8,13.8,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
13:29:00,TOTAL   : 25.11,0,0,0,82,19,11.9,0.0,0.0,68,68,68,69,69,1,69,67,68,68,68,68,0,68,13.4,13.4,13.8,13.8,0,83,83,28,28,  0.00, 50.94,25.1,0.0,0.0,0.0,25.1,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,12.9,0.0,0.0,359940.0,100.0,25.1,
