Electronics International Inc
CGR-30P Flight Data Recording
Aircraft ID....: C-GJYY
Unit ID........: 10003942
EDC Models.....: P-4-6-H,,
SW Version.....: 1.2
Tracking Number: 570
Local Time: 2026/05/23 13:10:12 
Zulu Time.: 2026/05/23 20:10:12 
Flight Number: 948
Engine Hours.:  82.38 hrs
Tach Time....:  60.28 hrs
Data Logging Interval: 0.3 sec

TIME,SEL TANK QTY,RPMLEFT;RPM,RPMRIGHT;RPM,RPM;***,TEMP COMP;*F,OAT;*C,VOLTS;V,AMPS;A,FLOW;GPH,EGT1;*F,EGT2;*F,EGT3;*F,EGT4;*F,EGT:;***,EGT-D:;***,EGT-H:;***,CHT1;*F,CHT2;*F,CHT3;*F,CHT4;*F,CHT:;***,CHT-D:;***,CHT-H:;***,FUEL L;GAL,FUEL L   ANN;GAL,FUEL R;GAL,FUEL R   ANN;GAL,OIL P;PSI,OIL T;*F,OIL T    ANN;*F,CARB T;*C,CARB T   ANN;*C,FLT;HRS,TACH;HRS,EST  TOTAL;GAL,RANGE;NM,TO DEST;NM,AT DEST;NM,REMAIN;GAL,TO DEST;GAL,AT DEST;GAL,TO EMPTY;H:M,TO DEST;H:M,AT DEST;H:M,DISTANCE;NM,TIME;H:M,QUANTITY;GAL,FLIGHT;GAL,SINCE ADD;GAL,ECONOMY;MPG,ENGINE;GPH,SWITCH IN;H:M,SWTCH    ANN; ,FUEL     ANN; ,
13:10:12,TOTAL   : 34.95,0,0,0,68,14,11.0,0.0,0.0,58,59,57,59,51,2,51,47,48,47,47,40,1,40,5.8,5.8,4.9,4.9,0,48,48,16,16,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:13,TOTAL   : 34.95,0,0,0,77,18,11.0,0.0,0.0,67,68,66,68,59,2,59,56,57,56,56,48,1,48,6.5,6.5,5.5,5.5,0,57,57,20,20,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:13,TOTAL   : 34.95,0,0,0,77,22,11.0,0.0,0.0,67,68,66,68,68,2,68,62,63,62,62,57,1,57,7.2,7.2,6.1,6.1,0,63,63,23,23,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:13,TOTAL   : 34.95,0,0,0,77,22,11.0,0.0,0.0,67,68,66,68,68,2,68,62,63,62,62,57,1,57,7.2,7.2,6.1,6.1,0,63,63,23,23,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:14,TOTAL   : 34.95,0,0,0,77,23,11.0,0.0,0.0,67,68,66,68,68,2,68,65,66,65,65,63,1,63,8.0,8.0,6.7,6.7,0,66,66,25,25,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:14,TOTAL   : 34.95,0,0,0,77,23,10.9,0.0,0.0,67,68,66,68,68,2,68,65,66,65,65,66,1,66,9.4,9.4,7.9,7.9,0,66,66,25,25,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:14,TOTAL   : 34.95,0,0,0,77,23,11.0,0.0,0.0,67,68,66,68,68,2,68,65,66,65,65,66,1,66,10.1,10.1,8.5,8.5,0,66,66,25,25,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:15,TOTAL   : 34.95,0,0,0,77,23,11.0,0.0,0.0,67,68,66,68,68,2,68,65,66,65,65,66,1,66,10.1,10.1,8.5,8.5,0,66,66,25,25,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:15,TOTAL   : 34.95,0,0,0,77,23,11.1,0.0,0.0,67,68,66,68,68,2,68,65,66,65,65,66,1,66,10.9,10.9,9.1,9.1,0,66,66,25,25,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:15,TOTAL   : 34.95,0,0,0,77,23,11.1,0.0,0.0,67,68,66,68,68,2,68,65,66,65,65,66,1,66,11.6,11.6,9.7,9.7,0,66,66,25,25,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:16,TOTAL   : 34.95,0,0,0,77,23,11.0,0.0,0.0,67,68,66,68,68,2,68,65,66,65,65,66,1,66,12.3,12.3,10.3,10.3,0,66,66,25,25,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
13:10:16,TOTAL   : 34.95,0,0,0,77,23,11.0,0.0,0.0,67,68,66,68,68,2,68,65,66,65,65,66,1,66,13.8,13.8,11.6,11.6,0,66,66,25,25,  0.00, 60.28,34.9,0.0,0.0,0.0,34.9,0.0,0.0, 99:59,  0:00,  0:00,0.0, 99:59,0.0,0.0,1.1,0.0,0.0,359940.0,100.0,34.9,
